Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
8/19/24,K241440,HealthCCSng,Nano-X AI Ltd.,Radiology,JAK
8/16/24,K240740,qCT LN Quant,Qure.ai Technologies,Radiology,QIH
8/16/24,K233755,HeartKey® Rhythm,B-Secur Limited,Cardiovascular,DQK
8/15/24,K241596,uMI Panvivo,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
8/15/24,K241211,CoLumbo,Smart Soft Healthcare,Radiology,QIH
8/13/24,K241429,ECHELON Synergy MRI System,FUJIFILM Healthcare Corporation,Radiology,LNH
8/12/24,K242054,OptimMRI (v2),"Rebrain, SAS",Radiology,QIH
8/8/24,K233822,i2Contour,MRIMath LLC,Radiology,QIH
8/8/24,K241665,Omni Legend,"GE Medical Systems Israel, Functional Imaging",Radiology,KPS
8/5/24,K240953,AI Platform 2.0 (AIP002),Exo Imaging,Radiology,QIH
8/5/24,K233992,Precision AI Surgical Planning System (PAI-SPS),Precision AI Pty Ltd,Orthopedic,QHE
8/2/24,K233984,Acumen Assisted Fluid Management (AFM) Software Feature,"Edwards Lifesciences, LLC",Cardiovascular,QMS
8/1/24,K234141,AISAP Cardio V1.0,Aisap,Radiology,POK
8/1/24,K233731,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK
8/1/24,K240301,MammoScreen® (3),Therapixel,Radiology,QDQ
7/25/24,K241887,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US); GI Genius Module 300 (GGM300-US); ColonPRO 4.0 (CPRO40S-US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
7/25/24,K241887,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US); GI Genius Module 300 (GGM300-US); ColonPRO 4.0 (CPRO40S-US),"Cosmo Artificial Intelligence - Ai, Ltd.",Gastroenterology-Urology,QNP
7/24/24,K240044,CADDIE,Odin Medical Limited,Gastroenterology-Urology,QNP
7/22/24,K240704,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions, USA, Inc.",Radiology,IYN
7/17/24,K241121,MICSI-RMT,"Microstructure Imaging, Inc.",Radiology,LLZ
7/17/24,K240845,Rayvolve,AZmed SAS,Radiology,QBS
7/16/24,K240944,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH
7/15/24,K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,MNR
7/12/24,K241727,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
7/12/24,K234009,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,QIH
7/12/24,K233457,RUS,Hutom Inc.,Radiology,QIH
7/11/24,K241329,SubtleSYNTH (1.x),"Subtle Medical, Inc.",Radiology,QIH
7/3/24,K241508,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP
7/2/24,K240736,SMART Bun-Yo-Matic X-Ray,Disior Ltd,Radiology,QIH
7/2/24,K240555,Tyto Insights for Crackles Detection,Tyto Care Ltd.,Anesthesiology,PHZ
7/1/24,K240353,Hyper Insight - ICH,SK Inc.,Radiology,QAS
6/25/24,K240582,VEA Align; spineEOS,EOS imaging,Radiology,QIH
6/21/24,K233253,eCARTv5 Clinical Deterioration Suite (eCART),"AgileMD, Inc.",Cardiovascular,QNL
6/21/24,K233196,Medihub Prostate,JLK Inc.,Radiology,QIH
6/21/24,K240465,O-arm O2 Imaging System,"Medtronic Navigation, Inc",Radiology,OWB
6/21/24,K233549,Tempus ECG-AF,"Tempus AI, Inc.",Cardiovascular,SBQ
6/21/24,K240631,"V8/XV8/XH8, V7/XV7/XH7, V6/XV6/XH6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
6/20/24,K240642,SMART Bun-Yo-Matic CT,Disior Ltd,Radiology,QIH
6/14/24,K233955,Clarius OB AI,Clarius Mobile Health Corp.,Radiology,IYN
6/14/24,K241083,SIS System,"Surgical Information Sciences, Inc.",Radiology,QIH
6/13/24,K233925,Relu Creator,Relu BV,Radiology,QIH
6/13/24,K233662,Radiography 7300 C,Philips Medical Systems DMC GmbH,Radiology,KPR
6/12/24,K240516,RS85 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN
